Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QoindDigital,,,,2023-06-03 12:17:06,2023-06-03 12:17:23,16.917s,PASSED
,,,,,,,
Test Cases/Get List of User,,,,2023-06-03 12:17:06,2023-06-03 12:17:14,7.502s,PASSED
"getListUser = findTestObject(""QoinDigital/Get List User"", [""page"":page, ""basedUrl"":basedUrl])",,,,2023-06-03 12:17:07,2023-06-03 12:17:07,0.297s,PASSED
"respListUser = sendRequest(getListUser, OPTIONAL)",,,,2023-06-03 12:17:07,2023-06-03 12:17:14,6.460s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.028s,PASSED
jsonRespListUser = jsonSlurper.parseText(respListUser.getResponseText()),,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.022s,PASSED
respCode = getStatusCode().toString(),,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.002s,PASSED
"log_info = ""
"" + ""="" * 40 + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.002s,PASSED
"log_info += ""List Of User 
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.001s,PASSED
"log_info += ""="" * 40 + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.001s,PASSED
"log_info += ""Page		: "" + page + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.011s,PASSED
"log_info += ""Per page	: "" + per_page + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.000s,PASSED
"log_info += ""Total		: "" + total + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.000s,PASSED
"log_info += ""Total Page	: "" + total_pages + ""
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.001s,PASSED
"log_info += ""Data:
""",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.000s,PASSED
data.each({ java.lang.Object item -> ... }),,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.026s,PASSED
"log_info += ""="" * 40",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.001s,PASSED
"if (respCode != ""200"")",,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.001s,PASSED
else,,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.009s,PASSED
,,,,,,,
Test Cases/Get Single User,,,,2023-06-03 12:17:14,2023-06-03 12:17:14,0.579s,PASSED
